FLIGHT,ORIGIN,DEST,DEP_TIME,ARR_TIME,DISTANCE
355-LGA-ORD,LGA,ORD,2016-09-01 17:37:00,2016-09-01 20:16:00,733.0
359-LGA-ORD,LGA,ORD,2016-09-01 19:05:00,2016-09-01 21:42:00,733.0
363-LGA-ORD,LGA,ORD,2016-09-01 13:29:00,2016-09-01 16:09:00,733.0
371-LGA-ORD,LGA,ORD,2016-09-01 21:00:00,2016-09-01 23:37:00,733.0
463-LGA-CLT,LGA,CLT,2016-09-01 15:55:00,2016-09-01 18:01:00,544.0
581-LGA-CLT,LGA,CLT,2016-09-01 11:30:00,2016-09-01 13:39:00,544.0
616-LGA-CLT,LGA,CLT,2016-09-01 17:10:00,2016-09-01 19:18:00,544.0
679-LGA-CLT,LGA,CLT,2016-09-01 07:59:00,2016-09-01 10:02:00,544.0
879-LGA-CLT,LGA,CLT,2016-09-01 08:40:00,2016-09-01 10:45:00,544.0
890-LGA-CLT,LGA,CLT,2016-09-01 18:59:00,2016-09-01 21:05:00,544.0
1669-LGA-RDU,LGA,RDU,2016-09-01 08:55:00,2016-09-01 10:35:00,431.0
1678-LGA-ATL,LGA,ATL,2016-09-01 13:40:00,2016-09-01 16:15:00,762.0
1687-LGA-ATL,LGA,ATL,2016-09-01 20:00:00,2016-09-01 22:36:00,762.0
139-ATL-MIA,ATL,MIA,2016-09-01 08:15:00,2016-09-01 10:14:00,594.0
1249-ATL-LAX,ATL,LAX,2016-09-01 18:30:00,2016-09-01 23:20:00,1946.0
901-ATL-MIA,ATL,MIA,2016-09-01 18:46:00,2016-09-01 20:45:00,594.0
919-ATL-ORD,ATL,ORD,2016-09-01 09:55:00,2016-09-01 12:02:00,606.0
958-ATL-MIA,ATL,MIA,2016-09-01 07:00:00,2016-09-01 08:53:00,594.0
1427-ATL-DFW,ATL,DFW,2016-09-01 12:46:00,2016-09-01 15:07:00,731.0
1473-ATL-DFW,ATL,DFW,2016-09-01 14:13:00,2016-09-01 16:32:00,731.0
1574-ATL-ORD,ATL,ORD,2016-09-01 07:39:00,2016-09-01 09:45:00,606.0
232-ATL-DFW,ATL,DFW,2016-09-01 18:17:00,2016-09-01 20:43:00,731.0
1607-ATL-DFW,ATL,DFW,2016-09-01 08:00:00,2016-09-01 10:23:00,731.0
2437-ATL-LAX,ATL,LAX,2016-09-01 11:20:00,2016-09-01 16:14:00,1946.0
2724-ATL-ORD,ATL,ORD,2016-09-01 11:20:00,2016-09-01 13:26:00,606.0
413-ATL-PHX,ATL,PHX,2016-09-01 11:59:00,2016-09-01 15:54:00,1587.0
2655-ATL-DFW,ATL,DFW,2016-09-01 06:30:00,2016-09-01 08:51:00,731.0
1700-ATL-CLT,ATL,CLT,2016-09-01 12:25:00,2016-09-01 13:37:00,226.0
1708-ATL-CLT,ATL,CLT,2016-09-01 07:20:00,2016-09-01 08:34:00,226.0
1711-ATL-CLT,ATL,CLT,2016-09-01 17:20:00,2016-09-01 18:42:00,226.0
1727-ATL-PHL,ATL,PHL,2016-09-01 10:45:00,2016-09-01 12:44:00,666.0
